Date,DIA
2025-01-17,431.04266357421875
2025-01-21,436.3771667480469
2025-01-22,437.5471496582031
2025-01-23,441.6124572753906
2025-01-24,440.3631286621094
2025-01-27,443.3377380371094
2025-01-28,444.6168518066406
2025-01-29,443.397216796875
2025-01-30,445.0234069824219
2025-01-31,441.62237548828125
2025-02-03,440.5118103027344
2025-02-04,441.7611999511719
2025-02-05,444.8746643066406
2025-02-06,443.5757141113281
2025-02-07,439.37158203125
2025-02-10,441.0175476074219
2025-02-11,442.3363037109375
2025-02-12,439.8773193359375
2025-02-13,443.4765930175781
2025-02-14,442.0190124511719
2025-02-18,442.1479187011719
2025-02-19,442.89154052734375
2025-02-20,438.6478271484375
2025-02-21,431.1197204589844
2025-02-24,431.4969787597656
2025-02-25,433.08587646484375
2025-02-26,431.3083801269531
