chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
GOOGL,2025-07-18,167.5000,put,buy,2025-06-30T15:36:15.556906Z,credit,1.00000,limit,short_put_spread,,0.48000000,1.00000
SMCI,2025-07-03,47.5000,put,sell,2025-06-30T15:31:36.721850Z,credit,1.00000,limit,short_put,,0.62000000,1.00000
TSLA,2025-07-03,302.5000,put,buy,2025-06-27T19:33:06.444307Z,credit,1.00000,limit,short_put_spread,,0.50000000,1.00000
TSLA,2025-07-03,305.0000,put,sell,2025-06-27T19:33:06.444307Z,credit,1.00000,limit,short_put_spread,,0.50000000,1.00000
RGTI,2025-06-27,12.0000,call,buy,2025-06-27T13:36:44.166129Z,credit,1.00000,limit,short_call,short_call,0.16000000,1.00000
RGTI,2025-07-03,12.0000,call,sell,2025-06-27T13:36:44.166129Z,credit,1.00000,limit,short_call,short_call,0.16000000,1.00000
MRNA,2025-07-03,25.0000,put,buy,2025-06-26T16:32:30.641854Z,debit,1.00000,limit,,short_put,0.06000000,1.00000
GOOGL,2025-07-18,160.0000,put,sell,2025-06-26T16:27:05.206896Z,debit,1.00000,limit,,short_put_spread,0.76000000,1.00000
GOOGL,2025-07-18,165.0000,put,buy,2025-06-26T16:27:05.206896Z,debit,1.00000,limit,,short_put_spread,0.76000000,1.00000
RIVN,2025-07-03,13.0000,put,sell,2025-06-25T15:49:08.527755Z,credit,1.00000,limit,short_put,,0.19000000,1.00000
MRNA,2025-07-03,25.0000,put,sell,2025-06-25T15:47:01.495426Z,credit,1.00000,limit,short_put,,0.28000000,1.00000
SMCI,2025-06-27,41.5000,put,buy,2025-06-25T14:02:37.271175Z,debit,1.00000,limit,,short_put,0.11000000,1.00000
RGTI,2025-06-27,12.0000,call,sell,2025-06-24T14:25:04.281502Z,credit,1.00000,limit,short_call,,0.18000000,1.00000
